define;sd
xmlUCSIsCyrillicSupplement;1
xmlPreviousElementSibling;1
xmlParseURI;1
xmlCopyProp;1
xmlTextWriterWriteVFormatPI;1
EBADMSG;1
xmlNanoFTPGetConnection;1
STANDALONE;8
xmlSwitchToEncoding;1
TRIO_INT8_T;2
htmlSaveFile;1
ENOTTY;1
xmlThrDefSetGenericErrorFunc;1
xmlPatternGetStreamCtxt;1
xmlCleanupMemory;1
xmlTextWriterFullEndElement;1
xmlTextReaderCurrentDoc;1
xmlInitNodeInfoSeq;1
xmlSchemaValueGetAsString;1
htmlDocDumpMemoryFormat;1
xmlParsePITarget;1
xmlXPathLeadingSorted;1
xmlTextWriterWriteFormatDTDAttlist;1
xmlTextWriterWriteElement;1
MEM_LIST_DEBUG;1
xmlParseEntityValue;1
xmlSAXVersion;1
xmlSchemaIsBuiltInTypeFacet;1
SPECIFIER_HEXFLOAT;2
xmlNewNodeEatName;1
xmlSchemaValueGetAsBoolean;1
xmlIsCombining;1
htmlReadFd;1
xmlTextReaderNormalization;1
xmlXPathRegisterFunc;1
xmlLoadExternalEntity;1
xmlStringCurrentChar;1
xmlStrncatNew;1
xmlCatalogResolvePublic;1
xmlNewCDataBlock;1
QUALIFIER_SIZE_T_UPPER;2
htmlSaveFileFormat;1
xmlAutomataNewCounter;1
xmlOutputBufferCreateFd;1
xmlTextReaderSetStructuredErrorHandler;1
IS_DIGIT;1
xmlNodeIsText;1
xmlXPathStringEvalNumber;1
xmlOutputBufferWriteEscape;1
xmlUTF8Strsize;1
NOLIBTOOL;1
xmlNewTextWriterTree;1
QUALIFIER_ROUNDING_UPPER;1
xmlSchematronFree;1
xmlTextReaderStandalone;1
xmlNanoFTPRead;1
xmlParseStartTag;1
xmlSetupParserForBuffer;1
xmlNewTextReaderFilename;1
xmlXPathNumberFunction;1
NAN;4
ENXIO;1
xmlLsOneNode;1
xmlUCSIsGreekExtended;1
xmlCopyElementContent;1
xmlNewDocNodeEatName;1
xmlSchemaNewFacet;1
TRIO_WIDECHAR;7
XML_SOCKLEN_T;2
xmlSchemaValueAppend;1
